Artist_Popularity_Score,Ticket_Price,Venue_Capacity,Concert_Sales
8,365.77,34452.59,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
8,148.92,49878.88,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
9,485.25,36588.57,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
2,425.91,47121.87,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,365.68,44609.34,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
1,346.2,30961.03,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,472.7,33444.92,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
8,78.89,4756.34,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
2,498.34,42574.66,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,269.76,7348.68,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,194.25,49883.49,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,89.07,24039.23,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,305.61,1304.28,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,423.23,43203.19,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,96.24,29272.3,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,133.26,5019.64,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,26.43,11377.33,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,63.23,36018.15,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,339.55,12506.92,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,490.27,24090.21,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
2,357.79,27342.41,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,28.92,4166.3,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
7,485.43,15975.05,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
8,245.65,21991.14,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,260.93,19635.19,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
1,171.4,10052.38,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,389.81,38247.26,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,378.59,24040.62,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,361.89,7288.36,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,297.4,36513.84,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
2,438.05,28840.48,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,292.7,25149.84,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,335.9,31953.87,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
7,138.03,44318.47,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,371.54,3293.29,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
8,499.44,16741.82,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
9,446.35,13557.71,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,366.78,47568.69,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
9,258.78,48415.61,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,185.09,31620.6,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,359.49,31437.83,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,249.11,45808.5,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,88.16,34109.78,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
5,297.16,19320.67,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,136.13,15207.05,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
6,416.32,40735.73,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,467.66,46367.66,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
1,158.0,26233.52,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
3,228.22,16743.55,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
10,401.93,4851.55,error: Please use field('Venue_Capacity') to access Venue_Capacity because it starts with an upper case letter.
