Artist_Popularity_Score,Ticket_Price,Venue_Capacity,Concert_Sales
5,169.1,34711.72,error: Access denied to method rand.
9,300.46,47391.53,error: Access denied to method rand.
3,128.12,49058.02,error: Access denied to method rand.
7,156.52,5054.62,error: Access denied to method rand.
8,94.56,32991.89,error: Access denied to method rand.
4,164.59,5183.09,error: Access denied to method rand.
8,212.03,26801.96,error: Access denied to method rand.
8,332.23,16204.87,error: Access denied to method rand.
2,320.97,15623.62,error: Access denied to method rand.
4,58.68,30939.79,error: Access denied to method rand.
7,394.02,2439.15,error: Access denied to method rand.
8,215.48,45361.51,error: Access denied to method rand.
5,182.55,1157.08,error: Access denied to method rand.
9,31.91,3829.42,error: Access denied to method rand.
5,216.14,20058.61,error: Access denied to method rand.
10,170.08,34525.98,error: Access denied to method rand.
9,276.31,33997.36,error: Access denied to method rand.
7,173.32,26154.59,error: Access denied to method rand.
1,469.98,2131.45,error: Access denied to method rand.
8,66.95,11174.42,error: Access denied to method rand.
4,96.02,37087.76,error: Access denied to method rand.
7,91.88,13929.74,error: Access denied to method rand.
7,205.89,42212.23,error: Access denied to method rand.
7,29.46,35914.49,error: Access denied to method rand.
2,333.91,7329.03,error: Access denied to method rand.
4,296.43,26175.37,error: Access denied to method rand.
7,43.68,43307.12,error: Access denied to method rand.
1,143.95,47259.22,error: Access denied to method rand.
10,442.43,49686.13,error: Access denied to method rand.
9,23.07,44844.91,error: Access denied to method rand.
2,349.09,23616.03,error: Access denied to method rand.
6,24.19,29239.81,error: Access denied to method rand.
5,171.31,49655.75,error: Access denied to method rand.
4,84.73,49461.44,error: Access denied to method rand.
7,206.22,11649.62,error: Access denied to method rand.
5,439.5,11759.48,error: Access denied to method rand.
4,49.3,22975.11,error: Access denied to method rand.
6,197.96,19717.9,error: Access denied to method rand.
6,74.62,47558.21,error: Access denied to method rand.
8,226.73,36919.66,error: Access denied to method rand.
3,249.3,17783.78,error: Access denied to method rand.
9,235.87,33517.95,error: Access denied to method rand.
3,334.46,42255.08,error: Access denied to method rand.
5,305.97,6519.56,error: Access denied to method rand.
10,106.9,37671.63,error: Access denied to method rand.
8,120.44,8734.02,error: Access denied to method rand.
1,477.12,8835.89,error: Access denied to method rand.
9,418.77,20729.7,error: Access denied to method rand.
7,261.74,13149.41,error: Access denied to method rand.
6,198.83,45321.54,error: Access denied to method rand.
