Artist_Popularity_Score,Ticket_Price,Venue_Capacity,Concert_Sales
6,414.47,9920.27,5833
7,340.05,12778.08,8848
5,445.69,44039.41,21891
2,439.41,43554.88,8585
1,239.05,25465.06,2480
6,93.37,18696.34,11195
7,403.08,16245.6,11256
6,383.09,26689.0,15904
10,401.74,14954.87,14840
7,303.53,17365.31,12070
6,225.88,26500.27,15838
6,418.47,10953.37,6452
10,45.41,36737.96,36730
4,121.55,35533.54,14182
6,221.28,18579.6,11087
6,243.26,41890.7,25067
5,92.57,16171.9,8064
9,234.83,25828.57,23181
3,321.62,27652.12,8205
8,171.55,6922.34,5492
5,304.52,32968.69,16398
10,28.8,29171.56,29168
7,202.67,13812.55,9613
2,469.21,26556.29,5176
1,332.05,21106.64,2017
2,41.83,5017.28,996
3,172.01,24822.57,7401
10,324.45,44919.22,44827
10,308.32,17438.06,17351
6,132.79,23188.6,13879
1,428.86,26370.97,2514
9,472.31,10473.0,9290
10,118.37,22561.88,22532
10,249.25,33184.99,33116
9,57.13,15232.55,13698
10,374.75,49619.69,49513
3,390.21,43748.05,13013
6,226.62,14993.64,8934
6,71.49,10415.95,6234
7,79.66,13254.84,9260
2,255.27,17897.27,3508
1,189.15,35728.59,3522
5,478.08,16631.65,8178
3,135.46,21713.1,6479
8,104.91,3687.78,2924
3,228.93,37362.02,11145
4,381.4,41509.27,16495
4,197.45,36695.29,14624
1,435.79,11367.99,1012
1,272.78,38315.61,3755
