Artist_Popularity_Score,Ticket_Price,Venue_Capacity,Concert_Sales
1,286.75,4041.05,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,462.16,1730.06,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,242.45,4648.48,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
2,45.45,1396.21,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
2,256.81,4685.05,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
7,111.03,2271.83,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,398.41,1655.47,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
2,378.69,2112.78,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,228.64,2230.59,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,323.15,1786.37,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
7,375.07,4112.55,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,95.98,2326.24,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,203.87,3778.89,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,234.25,2399.12,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,134.68,4602.88,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,427.47,4071.43,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,119.7,4967.36,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
3,168.52,2444.33,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,237.64,1047.9,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
5,263.2,3037.01,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
2,155.56,4364.06,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,207.88,2331.7,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
7,85.93,4556.63,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
